player_ID,Player,lg_ID,year_ID,Pos,Age,Tm,G,MP,OWS,DWS,WS,WSAA
mirotni01,Nikola Mirotic,NBA,2017,PF,25,CHI,68,1630,1.2,2.3,3.4,-0.039163929
gibsota01,Taj Gibson,NBA,2017,PF,31,CHI,55,1502,1.4,1.8,3.1,-0.069094615
mcderdo01,Doug McDermott,NBA,2017,SF,25,CHI,44,1078,1.1,0.7,1.8,-0.47449001
feliccr01,Cristiano Felicio,NBA,2017,C,24,CHI,64,1003,2.1,1.1,3.2,1.083753729
grantje02,Jerian Grant,NBA,2017,PG,24,CHI,61,979,1.2,1,2.2,0.134391726
portibo01,Bobby Portis,NBA,2017,PF,21,CHI,62,961,1,1.1,2,-0.027629777
valende01,Denzel Valentine,NBA,2017,SG,23,CHI,55,960,-0.5,1,0.4,-1.62551986
cartemi01,Michael Carter-Williams,NBA,2017,PG,25,CHI,43,826,-1,1.1,0.1,-1.642791046
zipsepa01,Paul Zipser,NBA,2017,SF,22,CHI,42,789,-0.5,0.7,0.2,-1.464724135
canaais01,Isaiah Canaan,NBA,2017,SG,25,CHI,38,585,-0.1,0.5,0.4,-0.834301165
lauvejo01,Joffrey Lauvergne,NBA,2017,C,25,CHI,18,228,-0.2,0.2,0,-0.481060967
payneca01,Cameron Payne,NBA,2017,PG,22,CHI,11,142,-0.4,0.1,-0.3,-0.599608146
morroan01,Anthony Morrow,NBA,2017,SG,31,CHI,7,77,0.2,0,0.3,0.137536428
hunterj01,R.J. Hunter,NBA,2017,SG,23,CHI,3,9,0,0,0,-0.018989249
walkeke02,Kemba Walker,NBA,2017,PG,26,CHO,79,2739,5.8,2.2,8.1,2.320938649
batumni01,Nicolas Batum,NBA,2017,SG,28,CHO,75,2578,1.8,2.8,4.6,-0.839364791
kiddgmi01,Michael Kidd-Gilchrist,NBA,2017,SF,23,CHO,79,2298,2.6,3,5.7,0.851411835
willima02,Marvin Williams,NBA,2017,PF,30,CHO,74,2255,2.5,2.5,5,0.242138245
kaminfr01,Frank Kaminsky,NBA,2017,C,23,CHO,73,1908,0.7,1.9,2.6,-1.425720722
belinma01,Marco Belinelli,NBA,2017,SG,30,CHO,74,1778,2,1.2,3.2,-0.551431574
zelleco01,Cody Zeller,NBA,2017,PF,24,CHO,60,1676,3.4,2.2,5.5,1.963779911
lambje01,Jeremy Lamb,NBA,2017,SG,24,CHO,60,1090,1.4,1.3,2.7,0.400190992
sessira01,Ramon Sessions,NBA,2017,PG,30,CHO,50,811,0.3,0.6,0.9,-0.811142299
hibbero01,Roy Hibbert,NBA,2017,C,30,CHO,42,671,1,0.8,1.8,0.384246014
hawessp01,Spencer Hawes,NBA,2017,PF,28,CHO,35,626,0.3,0.8,1.1,-0.220807742
roberbr01,Brian Roberts,NBA,2017,PG,31,CHO,39,361,0.3,0.2,0.5,-0.261679864
grahatr01,Treveon Graham,NBA,2017,SG,23,CHO,25,148,0.2,0.1,0.3,-0.012267645
plumlmi01,Miles Plumlee,NBA,2017,C,28,CHO,11,128,0.1,0.2,0.3,0.029930685
weberbr01,Briante Weber,NBA,2017,PG,24,CHO,11,114,0.2,0.1,0.3,0.059469517
woodch01,Christian Wood,NBA,2017,PF,21,CHO,12,94,0.2,0.1,0.3,0.101667847
obryajo01,Johnny O'Bryant,NBA,2017,PF,23,CHO,4,34,0,0,0.1,0.028262838
tobeymi01,Mike Tobey,NBA,2017,C,22,CHO,2,25,0,0,0,-0.052747913
harriaa01,Aaron Harrison,NBA,2017,SG,22,CHO,5,17,-0.1,0,-0.1,-0.135868581
jamesle01,LeBron James,NBA,2017,SF,32,CLE,73,2748,9.6,3,12.6,6.8019494
irvinky01,Kyrie Irving,NBA,2017,PG,24,CLE,71,2480,7.2,1.5,8.7,3.467407028
thomptr01,Tristan Thompson,NBA,2017,C,25,CLE,77,2318,4.9,2.3,7.2,2.309213504
shumpim01,Iman Shumpert,NBA,2017,SG,26,CLE,73,1850,0.7,1.3,2,-1.903345564
loveke01,Kevin Love,NBA,2017,PF,28,CLE,58,1806,3.9,2.4,6.3,2.489490763
jefferi01,Richard Jefferson,NBA,2017,SF,36,CLE,76,1549,1.3,0.7,2.1,-1.168260691
fryech01,Channing Frye,NBA,2017,C,33,CLE,71,1333,2,1.3,3.3,0.487481277
smithjr01,J.R. Smith,NBA,2017,SG,31,CLE,38,1089,0.2,0.7,1,-1.297699091
korveky01,Kyle Korver,NBA,2017,SG,35,CLE,32,789,1.5,0.4,1.8,0.135275865
liggide01,DeAndre Liggins,NBA,2017,SG,28,CLE,61,752,-0.5,0.9,0.4,-1.186657224
willide01,Deron Williams,NBA,2017,PG,32,CLE,21,407,0.4,0.2,0.6,-0.258736024
willide02,Derrick Williams,NBA,2017,PF,25,CLE,23,390,0.5,0.2,0.7,-0.122867443
mcraejo01,Jordan McRae,NBA,2017,SG,25,CLE,37,384,-0.1,0.2,0.2,-0.610207944
feldeka01,Kay Felder,NBA,2017,PG,21,CLE,41,379,-0.4,0.4,0,-0.799658361
dunlemi02,Mike Dunleavy,NBA,2017,SF,36,CLE,23,366,0.1,0.2,0.3,-0.472229447
jonesja02,James Jones,NBA,2017,SF,36,CLE,47,345,0.7,0.2,0.9,0.1720788
anderch01,Chris Andersen,NBA,2017,C,38,CLE,12,114,0.1,0.2,0.2,-0.040530483
sandela01,Larry Sanders,NBA,2017,C,28,CLE,4,10,0,0,0,-0.021099165
bogutan01,Andrew Bogut,NBA,2017,C,32,CLE,1,1,0,0,0,-0.002109917
barneha02,Harrison Barnes,NBA,2017,PF,24,DAL,79,2803,2.5,2.2,4.7,-1.214096009
matthwe02,Wesley Matthews,NBA,2017,SG,30,DAL,72,2476,1.1,2.2,3.2,-2.024153306
curryse01,Seth Curry,NBA,2017,PG,26,DAL,70,2029,2.9,1.8,4.7,0.418979379
finnedo01,Dorian Finney-Smith,NBA,2017,PF,23,DAL,78,1551,-0.1,1.5,1.4,-1.872480524
nowitdi01,Dirk Nowitzki,NBA,2017,PF,38,DAL,52,1377,0.6,1.9,2.5,-0.40535505
poweldw01,Dwight Powell,NBA,2017,C,25,DAL,74,1244,2.6,1.9,4.5,1.875263848
willide01,Deron Williams,NBA,2017,PG,32,DAL,40,1171,1,0.7,1.8,-0.670712246
harride01,Devin Harris,NBA,2017,PG,33,DAL,62,1039,0.9,1.1,2,-0.192203265
ferreyo01,Yogi Ferrell,NBA,2017,PG,23,DAL,33,951,1.1,0.9,2,-0.006530612
mejrisa01,Salah Mejri,NBA,2017,C,30,DAL,70,876,1.1,1.7,2.8,0.951713128
bareajo01,J.J. Barea,NBA,2017,PG,32,DAL,34,744,0.8,0.5,1.3,-0.269777892
anderju01,Justin Anderson,NBA,2017,SF,23,DAL,51,710,0.1,0.9,1,-0.49804073
bogutan01,Andrew Bogut,NBA,2017,C,32,DAL,26,582,-0.3,1,0.7,-0.527971415
noelne01,Nerlens Noel,NBA,2017,C,22,DAL,19,433,0.9,0.8,1.7,0.786406146
brussni01,Nicolas Brussino,NBA,2017,SF,23,DAL,51,425,0,0.5,0.5,-0.396714521
gibsojo01,Jonathan Gibson,NBA,2017,PG,29,DAL,17,231,-0.3,0.2,-0.1,-0.587390716
hammoaj01,A.J. Hammons,NBA,2017,C,24,DAL,19,124,-0.1,0.2,0,-0.261629649
jackspi01,Pierre Jackson,NBA,2017,PG,25,DAL,8,84,0,0.1,0,-0.177232988
cookqu01,Quinn Cook,NBA,2017,PG,23,DAL,5,77,-0.1,0,-0.1,-0.262463572
uthofja01,Jarrod Uthoff,NBA,2017,PF,23,DAL,6,49,-0.2,0.1,-0.2,-0.30338591
acyqu01,Quincy Acy,NBA,2017,PF,26,DAL,6,48,-0.2,0,-0.1,-0.201275993
harrima01,Manny Harris,NBA,2017,SG,27,DAL,4,25,-0.2,0,-0.2,-0.252747913
bentibe01,Ben Bentil,NBA,2017,PF,21,DAL,3,10,-0.1,0,-0.1,-0.121099165
chandwi01,Wilson Chandler,NBA,2017,SF,29,DEN,69,2140,2.3,1,3.3,-1.215221355
gallida01,Danilo Gallinari,NBA,2017,SF,28,DEN,62,2096,6,0.5,6.6,2.177614972
nelsoja01,Jameer Nelson,NBA,2017,PG,34,DEN,75,2045,2.3,0.4,2.7,-1.614779286
jokicni01,Nikola Jokic,NBA,2017,C,21,DEN,70,1947,7.4,1.7,9.1,4.991992533
harriga01,Gary Harris,NBA,2017,SG,22,DEN,55,1711,3.9,0.6,4.5,0.889932832
bartowi01,Will Barton,NBA,2017,SG,26,DEN,60,1705,2.5,0.7,3.2,-0.397407668
murraja01,Jamal Murray,NBA,2017,SG,19,DEN,79,1655,0.6,0.6,1.2,-2.291911842
mudiaem01,Emmanuel Mudiay,NBA,2017,PG,20,DEN,54,1381,-0.4,0.5,0.1,-2.813794716
farieke01,Kenneth Faried,NBA,2017,PF,27,DEN,61,1296,3.4,1.1,4.5,1.765548189
nurkiju01,Jusuf Nurkic,NBA,2017,C,22,DEN,45,807,-0.3,0.8,0.5,-1.202702633
hernaju01,Juan Hernangomez,NBA,2017,PF,21,DEN,59,767,1.4,0.5,1.9,0.281694028
arthuda01,Darrell Arthur,NBA,2017,PF,28,DEN,39,598,0.6,0.3,1,-0.26173008
plumlma01,Mason Plumlee,NBA,2017,C,26,DEN,24,547,0.9,0.5,1.4,0.245875663
millemi01,Mike Miller,NBA,2017,SF,36,DEN,18,94,0,0,0,-0.198332153
beaslma01,Malik Beasley,NBA,2017,SG,20,DEN,20,93,0,0,0.1,-0.096222236
geeal01,Alonzo Gee,NBA,2017,SF,29,DEN,13,89,-0.1,0.1,-0.1,-0.28778257
obryajo01,Johnny O'Bryant,NBA,2017,PF,23,DEN,7,46,0.1,0,0.1,0.00294384
hibbero01,Roy Hibbert,NBA,2017,C,30,DEN,5,10,0,0,0,-0.021099165
stokeja01,Jarnell Stokes,NBA,2017,PF,23,DEN,2,7,0.1,0,0.1,0.085230584
morrima03,Marcus Morris,NBA,2017,SF,27,DET,78,2540,1.5,2.4,3.9,-1.459187964
harrito02,Tobias Harris,NBA,2017,PF,24,DET,79,2480,3.9,2.7,6.6,1.367407028
caldwke01,Kentavious Caldwell-Pope,NBA,2017,SG,23,DET,74,2471,2.1,2.5,4.6,-0.613603724
drumman01,Andre Drummond,NBA,2017,C,23,DET,78,2336,1.3,5.2,6.4,1.471235007
leuerjo01,Jon Leuer,NBA,2017,PF,27,DET,72,1899,2.6,2,4.6,0.593268526
smithis01,Ish Smith,NBA,2017,PG,28,DET,78,1862,0.7,2.2,2.9,-1.028664562
jacksre01,Reggie Jackson,NBA,2017,PG,26,DET,52,1424,0.7,1.2,1.9,-1.104521126
johnsst04,Stanley Johnson,NBA,2017,SF,20,DET,74,1301,-1.2,1.7,0.5,-2.245001394
baynear01,Aron Baynes,NBA,2017,C,30,DET,75,1163,1.4,1.5,3,0.546167086
udrihbe01,Beno Udrih,NBA,2017,PG,34,DET,38,539,0.7,0.5,1.2,0.062754995
bullore01,Reggie Bullock,NBA,2017,SF,25,DET,28,396,0,0.4,0.4,-0.435526942
hillida01,Darrun Hilliard,NBA,2017,SG,23,DET,36,330,-0.6,0.3,-0.3,-0.996272452
marjabo01,Boban Marjanovic,NBA,2017,C,28,DET,32,230,1,0.4,1.4,0.9147192
ellenhe01,Henry Ellenson,NBA,2017,PF,20,DET,16,83,-0.2,0.1,-0.1,-0.275123071
gbinimi01,Michael Gbinije,NBA,2017,SG,24,DET,9,32,-0.1,0,-0.1,-0.167517329
thompkl01,Klay Thompson,NBA,2017,SG,26,GSW,77,2623,4.2,2.8,7,1.465688965
curryst01,Stephen Curry,NBA,2017,PG,28,GSW,77,2580,8.4,3.8,12.3,6.856415376
greendr01,Draymond Green,NBA,2017,PF,26,GSW,75,2446,2.9,5.3,8.2,3.039144189
duranke01,Kevin Durant,NBA,2017,SF,28,GSW,60,2011,7.7,3.8,11.5,7.256957876
iguodan01,Andre Iguodala,NBA,2017,SF,33,GSW,75,1974,4.2,2.8,7,2.835024787
livinsh01,Shaun Livingston,NBA,2017,PG,31,GSW,74,1308,1.1,1.5,2.6,-0.15977081
pachuza01,Zaza Pachulia,NBA,2017,C,32,GSW,68,1231,2.1,2.4,4.5,1.902692763
clarkia01,Ian Clark,NBA,2017,SG,25,GSW,75,1094,1.1,1.3,2.4,0.091751326
mccawpa01,Patrick McCaw,NBA,2017,SG,21,GSW,69,1019,0.5,1.1,1.7,-0.450004935
westda01,David West,NBA,2017,PF,36,GSW,66,823,1,1.7,2.7,0.963538703
mcgeeja01,JaVale McGee,NBA,2017,C,29,GSW,75,706,1.8,1.4,3.2,1.710398936
looneke01,Kevon Looney,NBA,2017,C,20,GSW,53,447,0.7,0.8,1.4,0.456867315
mcadoja01,James Michael McAdoo,NBA,2017,PF,24,GSW,50,424,0.2,0.7,0.9,0.005395395
barnema02,Matt Barnes,NBA,2017,SF,36,GSW,20,410,0.3,0.6,1,0.134934226
varejan01,Anderson Varejao,NBA,2017,C,34,GSW,14,92,0,0.1,0.2,0.00588768
jonesda03,Damian Jones,NBA,2017,C,21,GSW,9,66,-0.1,0.1,0,-0.13925449
weberbr01,Briante Weber,NBA,2017,PG,24,GSW,7,46,-0.1,0.1,0,-0.09705616
hardeja01,James Harden,NBA,2017,PG,27,HOU,78,2851,11.2,3.6,14.7,8.684627998
arizatr01,Trevor Ariza,NBA,2017,SF,31,HOU,78,2699,2.8,3.3,6.1,0.40533531
gordoer01,Eric Gordon,NBA,2017,SG,28,HOU,73,2273,2.4,1.4,3.9,-0.895840252
anderry01,Ryan Anderson,NBA,2017,PF,28,HOU,69,2041,3.7,1.2,4.9,0.59366038
beverpa01,Patrick Beverley,NBA,2017,SG,28,HOU,65,1998,2.8,2.4,5.2,0.984386791
capelca01,Clint Capela,NBA,2017,C,22,HOU,63,1498,3.6,2.1,5.7,2.539345051
dekkesa01,Sam Dekker,NBA,2017,SF,22,HOU,77,1419,1.9,1.3,3.2,0.206028457
hilarne01,Nene Hilario,NBA,2017,C,34,HOU,66,1181,2.5,1.6,4.2,1.708188589
harremo01,Montrezl Harrell,NBA,2017,PF,23,HOU,56,1017,3,1,4,1.854214898
breweco01,Corey Brewer,NBA,2017,SF,30,HOU,58,923,0,0.9,0.9,-1.047452949
willilo02,Lou Williams,NBA,2017,SG,30,HOU,21,534,0.9,0.4,1.3,0.173304578
mcdankj01,K.J. McDaniels,NBA,2017,SF,23,HOU,29,212,0,0.2,0.3,-0.147302302
ennisty01,Tyler Ennis,NBA,2017,PG,22,HOU,31,196,-0.4,0.1,-0.2,-0.613543638
willitr02,Troy Williams,NBA,2017,SF,22,HOU,3,75,0.1,0.1,0.2,0.041756261
brownbo02,Bobby Brown,NBA,2017,PG,32,HOU,22,65,-0.1,0,-0.1,-0.237144574
wiltjky01,Kyle Wiltjer,NBA,2017,PF,24,HOU,13,43,-0.1,0.1,0,-0.09072641
onuakch01,Chinanu Onuaku,NBA,2017,C,20,HOU,3,18,0,0,0.1,0.062021503
taylois01,Isaiah Taylor,NBA,2017,PG,22,HOU,1,15,0,0,0,-0.031648748
georgpa01,Paul George,NBA,2017,SF,26,IND,73,2613,3.6,3,6.6,1.08678813
teaguje01,Jeff Teague,NBA,2017,PG,28,IND,80,2592,5.4,2.4,7.8,2.331096377
turnemy01,Myles Turner,NBA,2017,C,20,IND,79,2480,4.1,3.5,7.5,2.267407028
youngth01,Thaddeus Young,NBA,2017,PF,28,IND,72,2167,1.8,2.6,4.4,-0.172189101
ellismo01,Monta Ellis,NBA,2017,SG,31,IND,72,1948,-0.6,1.7,1.1,-3.010117383
milescj01,C.J. Miles,NBA,2017,SF,29,IND,74,1734,2.7,1.3,4,0.341404752
robingl02,Glenn Robinson,NBA,2017,SF,23,IND,69,1426,1.3,1.2,2.5,-0.508740959
jeffeal01,Al Jefferson,NBA,2017,C,32,IND,66,931,1.2,1,2.3,0.335667719
brookaa01,Aaron Brooks,NBA,2017,PG,32,IND,63,865,-0.3,0.5,0.2,-1.625077791
allenla01,Lavoy Allen,NBA,2017,PF,27,IND,60,863,0.8,0.8,1.6,-0.220857958
stuckro01,Rodney Stuckey,NBA,2017,PG,30,IND,39,696,-0.5,0.4,-0.1,-1.568501899
serapke01,Kevin Seraphin,NBA,2017,PF,27,IND,47,525,0.3,0.5,0.9,-0.207706174
chrisra01,Rakeem Christmas,NBA,2017,PF,25,IND,28,219,0.3,0.2,0.4,-0.062071718
youngjo01,Joe Young,NBA,2017,PG,24,IND,33,135,-0.2,0.1,-0.1,-0.38483873
niangge01,Georges Niang,NBA,2017,PF,23,IND,23,93,-0.4,0.1,-0.3,-0.496222236
stephla01,Lance Stephenson,NBA,2017,SG,26,IND,4,88,0,0.1,0,-0.185672654
jordade01,DeAndre Jordan,NBA,2017,C,28,LAC,79,2510,6.9,4.5,11.3,6.004109532
redicjj01,J.J. Redick,NBA,2017,SG,32,LAC,76,2141,3.3,1.4,4.6,0.082668728
crawfja01,Jamal Crawford,NBA,2017,SG,36,LAC,80,2103,0.3,1.3,1.6,-2.837154444
riverau01,Austin Rivers,NBA,2017,SG,24,LAC,74,2054,1.2,1.3,2.5,-1.833768534
griffbl01,Blake Griffin,NBA,2017,PF,27,LAC,59,2016,5.1,2.3,7.4,3.146408294
paulch01,Chris Paul,NBA,2017,PG,31,LAC,59,1857,7.5,2.5,10,6.08188502
mbahalu01,Luc Mbah a Moute,NBA,2017,PF,30,LAC,78,1731,1.1,1.8,2.8,-0.852265498
feltora01,Raymond Felton,NBA,2017,PG,32,LAC,78,1660,0.2,1.7,1.9,-1.602461425
speigma01,Marreese Speights,NBA,2017,C,29,LAC,80,1251,2.6,1.6,4.2,1.560494432
johnswe01,Wesley Johnson,NBA,2017,SF,29,LAC,66,789,-0.3,1.2,0.8,-0.864724135
bassbr01,Brandon Bass,NBA,2017,PF,31,LAC,50,556,1.4,0.6,2,0.826886414
anderal01,Alan Anderson,NBA,2017,SF,34,LAC,30,308,0,0.1,0.1,-0.549854288
